 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"314700 PARACATU";44;34;32;18;25;15;17;19;28;27;27;15;19;20;11;12;12;14;13;23;18;23;18;29;14;12;14;21;21;595
"314710 PARA DE MINAS";40;59;42;27;24;33;13;23;23;22;14;14;13;10;10;8;21;17;12;9;10;10;12;10;14;12;11;8;8;529
"314720 PARAGUACU";6;7;8;6;2;8;2;4;3;1;1;2;2;-;2;6;5;3;4;3;2;6;5;-;2;5;2;2;1;100
"314730 PARAISOPOLIS";7;8;5;5;8;8;7;4;1;1;6;3;2;4;4;1;2;1;3;-;-;-;2;2;2;4;3;4;-;97
"314740 PARAOPEBA";10;9;7;7;5;8;5;5;6;7;5;5;2;2;1;4;2;6;2;3;4;1;1;6;1;4;1;2;2;123
"314750 PASSABEM";1;-;3;1;-;1;1;1;2;-;1;-;-;1;1;-;-;-;-;-;1;-;-;1;-;-;-;-;1;16
"314760 PASSA QUATRO";6;3;8;5;4;4;4;5;6;3;12;-;3;4;2;2;2;1;2;1;6;3;3;3;1;-;-;4;2;99
"314770 PASSA TEMPO";4;3;4;2;1;3;2;-;-;-;1;3;4;1;-;-;2;2;-;-;2;1;2;-;1;-;-;-;1;39
"314780 PASSA VINTE";-;1;-;1;2;-;-;1;-;-;-;1;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;10
"314790 PASSOS";41;38;31;51;51;34;22;15;23;19;17;13;17;10;13;19;13;10;21;19;17;14;12;19;11;15;21;12;13;611
"314795 PATIS";-;1;4;1;-;4;-;1;1;-;1;1;1;2;1;2;3;1;-;-;1;-;1;-;-;-;-;-;-;26
"314800 PATOS DE MINAS";41;42;32;45;44;37;37;37;24;27;22;21;18;16;18;22;20;16;23;22;20;24;24;24;17;12;15;23;20;743
"314810 PATROCINIO";34;23;40;39;31;32;26;19;24;21;20;19;21;16;11;5;12;12;12;14;13;15;17;15;13;17;4;14;8;547
"314820 PATROCINIO DO MURIAE";-;-;1;-;2;-;-;-;1;-;-;-;1;2;1;2;-;-;1;-;-;-;1;-;2;1;-;-;2;17
"314830 PAULA CANDIDO";2;4;6;7;2;3;2;2;-;2;1;2;2;-;2;-;-;2;6;-;2;1;2;-;1;1;1;1;-;54
"314840 PAULISTAS";4;1;2;1;4;5;3;1;1;1;3;-;1;-;1;2;2;3;-;1;-;-;-;1;-;-;1;-;2;40
"314850 PAVAO";1;-;-;1;-;2;3;5;8;2;4;1;3;2;1;3;2;3;2;-;2;-;1;1;2;1;1;1;-;52
"314860 PECANHA";23;9;18;12;9;11;6;9;6;6;9;5;10;7;5;-;2;2;2;1;3;4;2;4;1;2;5;4;3;180
"314870 PEDRA AZUL";2;14;6;4;15;8;20;19;12;19;17;13;11;9;8;9;14;8;4;6;3;5;2;1;7;-;2;3;3;244
"314875 PEDRA BONITA";-;3;8;4;7;3;3;7;3;5;1;4;1;1;2;3;3;-;1;3;1;1;1;1;1;3;1;1;3;75
"314880 PEDRA DO ANTA";3;2;-;3;-;-;-;2;1;2;-;1;1;-;2;1;-;-;-;2;-;1;-;1;-;-;2;-;-;24
"314890 PEDRA DO INDAIA";-;1;1;-;2;1;1;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;12
"314900 PEDRA DOURADA";1;3;-;-;1;-;-;2;1;1;-;-;-;1;1;-;-;1;1;-;1;1;1;-;-;-;-;-;-;16
"314910 PEDRALVA";7;5;4;6;7;7;5;2;2;3;5;1;3;1;5;-;2;1;1;1;2;-;2;-;1;1;-;-;3;77
"314915 PEDRAS DE MARIA DA CRUZ";2;-;3;1;2;3;1;2;4;6;2;4;3;3;1;-;2;2;1;3;3;-;4;1;3;3;1;-;-;60
"314920 PEDRINOPOLIS";1;-;-;1;1;1;1;1;1;1;-;-;-;1;1;-;-;2;-;-;-;1;1;-;-;-;-;-;1;15
"314930 PEDRO LEOPOLDO";26;13;13;13;19;11;14;18;3;12;9;16;6;16;14;4;9;8;7;6;10;6;4;4;5;11;16;6;9;308
"314940 PEDRO TEIXEIRA";-;1;1;1;2;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;11
"314950 PEQUERI";2;-;1;2;1;-;2;1;-;1;-;-;1;1;-;3;-;-;-;1;-;-;-;1;-;1;1;-;1;20
"314960 PEQUI";1;1;-;-;1;-;1;1;2;4;2;2;-;1;-;2;-;1;-;-;-;-;1;-;2;-;2;-;-;24
"314970 PERDIGAO";1;-;-;1;-;-;2;-;1;3;1;1;1;3;4;3;1;-;2;-;1;-;-;1;2;2;1;-;2;33
"314980 PERDIZES";6;3;5;4;5;1;7;1;3;2;2;2;4;3;3;2;3;4;3;2;4;4;3;1;5;1;4;4;-;91
"314990 PERDOES";5;5;6;4;5;6;5;6;5;4;1;4;3;5;2;4;3;4;5;1;3;3;2;3;1;3;4;4;2;108
"314995 PERIQUITO";-;-;1;1;2;3;2;1;5;1;1;1;2;2;2;1;2;2;1;-;-;-;2;2;1;1;1;5;3;45
"315000 PESCADOR";-;-;2;-;-;-;-;1;1;1;4;2;1;-;-;-;-;-;1;2;-;4;-;-;2;3;-;1;1;26
"315010 PIAU";1;-;2;-;2;2;2;1;1;-;-;-;-;1;-;-;-;-;1;1;-;1;2;-;-;-;1;-;-;18
"315015 PIEDADE DE CARATINGA";-;4;1;8;5;3;1;6;2;5;1;4;1;2;2;-;-;1;3;2;5;-;2;2;5;-;6;1;1;73
"315020 PIEDADE DE PONTE NOVA";2;3;-;-;2;1;1;2;3;1;1;-;1;1;1;2;-;-;1;-;1;-;-;-;-;-;-;-;-;23
"315030 PIEDADE DO RIO GRANDE";2;2;1;1;1;2;-;2;1;-;-;-;3;-;1;-;1;-;-;-;1;3;-;-;-;2;-;-;-;23
"315040 PIEDADE DOS GERAIS";1;1;-;-;3;1;-;-;-;-;-;2;-;1;2;3;-;1;2;-;-;1;-;-;-;-;-;-;2;20
"315050 PIMENTA";1;1;-;-;3;2;-;1;1;3;-;2;-;-;2;-;2;1;1;-;-;-;-;-;1;2;3;1;-;27
"315053 PINGO-D'AGUA";-;2;2;-;2;-;1;1;1;3;2;-;1;1;1;-;-;1;-;-;1;-;-;1;1;1;-;-;-;22
"315057 PINTOPOLIS";-;-;-;-;-;1;1;3;3;1;1;2;1;1;-;2;2;1;4;3;3;-;-;3;1;-;1;1;-;35
"315060 PIRACEMA";4;2;1;2;3;-;1;1;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;3;-;1;1;-;22
"315070 PIRAJUBA";1;1;-;-;-;-;-;-;-;1;-;1;-;-;2;2;1;3;-;4;2;-;1;-;-;-;1;-;2;22
"315080 PIRANGA";20;10;10;10;17;9;8;7;5;3;2;2;6;3;3;1;2;3;3;2;2;2;2;4;4;3;3;1;3;150
"315090 PIRANGUCU";2;2;1;6;-;-;1;-;-;1;1;-;1;-;2;-;1;3;2;1;-;-;-;-;1;-;1;-;-;26
"315100 PIRANGUINHO";1;1;7;7;1;-;2;2;-;-;1;-;3;1;3;1;2;-;3;1;-;1;-;2;-;1;-;3;2;45
"315110 PIRAPETINGA";10;5;1;6;-;7;1;2;2;3;5;4;3;-;1;3;2;2;3;3;1;2;1;1;3;4;-;1;2;78
"315120 PIRAPORA";24;16;23;24;22;13;10;30;26;28;16;13;16;16;10;17;11;8;12;9;9;8;13;16;10;8;3;11;5;427
"315130 PIRAUBA";6;6;4;-;-;3;-;-;3;2;1;2;-;3;1;2;3;3;3;2;1;-;1;2;1;1;3;2;2;57
"315140 PITANGUI";18;9;9;8;18;7;6;15;7;5;6;1;3;10;5;7;7;2;2;6;3;6;5;4;7;3;6;4;8;197
"315150 PIUMHI";8;11;13;10;10;13;11;7;6;7;3;4;8;4;5;13;4;7;4;3;2;5;7;5;6;2;6;3;5;192
"315160 PLANURA";-;7;4;2;1;-;2;-;1;-;-;1;5;-;-;4;1;1;2;-;2;2;2;2;-;3;-;-;4;46
"315170 POCO FUNDO";6;9;1;2;3;4;4;5;4;2;3;4;1;-;-;-;-;3;-;2;1;2;2;3;2;3;-;1;2;69
"315180 POCOS DE CALDAS";39;36;48;46;37;33;25;24;22;21;23;17;21;28;19;15;14;22;15;20;10;21;18;18;20;19;21;18;19;689
"315190 POCRANE";5;6;2;4;4;5;2;1;6;4;1;4;3;1;1;4;1;-;-;1;2;2;-;-;-;1;3;3;1;67
"315200 POMPEU";23;16;15;20;15;15;10;7;7;11;14;9;9;11;5;5;7;8;3;5;7;5;3;4;5;4;3;12;2;260
"315210 PONTE NOVA";23;19;19;24;15;17;13;11;12;6;10;14;7;9;7;3;13;9;10;8;9;7;9;6;9;9;11;7;9;325
"315213 PONTO CHIQUE";-;-;-;1;-;-;1;1;1;1;1;1;2;-;-;1;4;1;-;1;-;1;1;1;1;-;1;-;1;22
"315217 PONTO DOS VOLANTES";-;-;-;2;1;2;3;4;5;2;4;7;2;6;3;2;3;-;3;2;3;2;3;3;1;1;1;3;6;74
"315220 PORTEIRINHA";14;15;15;5;12;9;13;10;8;6;11;3;5;7;5;6;7;9;6;4;3;3;7;2;7;2;1;6;4;205
"315230 PORTO FIRME";2;-;-;7;2;4;2;3;2;4;1;1;1;4;-;2;-;1;1;1;-;2;2;3;-;-;-;-;1;46
"315240 POTE";-;1;1;4;4;2;9;1;8;6;2;2;6;5;1;7;1;3;4;2;2;1;3;-;2;-;4;1;-;82
"315250 POUSO ALEGRE";41;38;32;42;41;33;39;25;23;22;22;24;22;29;20;28;29;19;24;27;28;16;12;11;15;14;18;18;17;729
"315260 POUSO ALTO";4;7;6;2;5;2;-;-;-;1;2;3;-;1;1;-;2;1;-;-;-;-;1;-;-;-;2;2;1;43
"315270 PRADOS";5;2;7;1;-;2;1;1;2;2;1;3;1;-;3;1;1;5;1;1;2;2;1;1;1;-;2;1;1;51
"315280 PRATA";8;4;7;4;5;-;5;5;3;2;4;8;2;6;4;-;5;5;2;2;5;7;2;2;1;1;1;5;2;107
"315290 PRATAPOLIS";2;3;2;2;1;-;1;1;1;-;1;-;2;1;1;1;1;-;-;2;1;2;1;2;-;-;3;1;-;32
"315300 PRATINHA";-;1;-;-;-;-;-;1;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;2;1;-;9
"315310 PRESIDENTE BERNARDES";4;3;2;1;5;1;2;3;-;2;4;-;3;1;1;-;-;-;1;-;1;-;-;1;-;-;-;-;1;36
"315320 PRESIDENTE JUSCELINO";2;2;4;-;1;1;1;1;-;1;2;2;2;3;-;-;2;1;-;-;-;1;-;-;-;-;1;-;-;27
"315330 PRESIDENTE KUBITSCHEK";3;3;1;-;1;1;1;-;1;-;1;2;1;1;1;-;1;2;1;-;-;1;-;1;-;3;1;2;1;30
"315340 PRESIDENTE OLEGARIO";4;2;3;7;6;2;3;4;6;9;5;1;2;1;-;5;1;1;1;3;4;2;4;2;2;2;1;-;1;84
"315350 ALTO JEQUITIBA";9;10;2;2;4;4;1;3;-;3;1;2;3;3;1;-;-;1;2;-;1;-;2;1;1;2;-;1;1;60
"315360 PRUDENTE DE MORAIS";3;2;2;1;5;3;3;-;5;3;1;3;4;-;5;4;4;3;1;3;1;-;1;1;5;4;1;1;1;70
"315370 QUARTEL GERAL";-;-;-;1;-;1;2;-;-;-;-;-;-;1;1;2;1;1;1;-;-;-;-;1;1;-;-;1;-;14
"315380 QUELUZITO";-;1;-;-;1;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"315390 RAPOSOS";7;12;4;4;1;5;4;2;3;4;4;1;-;4;2;1;5;1;2;1;4;4;-;3;7;1;4;2;1;93
"315400 RAUL SOARES";14;19;10;4;4;8;7;11;5;3;7;3;7;3;1;5;5;2;3;2;3;3;1;1;1;3;1;2;2;140
"315410 RECREIO";5;4;4;2;2;-;-;4;1;-;4;2;3;-;2;1;1;1;1;1;2;1;-;-;3;-;2;-;-;46
"315415 REDUTO";-;2;5;-;3;2;3;4;2;2;9;2;2;2;-;3;-;2;-;2;-;-;-;3;1;1;1;1;1;53
"315420 RESENDE COSTA";6;7;3;5;5;1;2;8;1;3;2;3;3;3;-;2;1;5;1;1;1;3;2;1;3;-;1;2;1;76
"315430 RESPLENDOR";11;6;10;8;8;5;7;5;2;4;7;3;5;5;3;6;7;10;4;6;3;4;2;2;2;3;6;3;2;149
"315440 RESSAQUINHA";2;1;3;2;2;1;-;1;1;-;1;1;1;1;1;1;-;-;1;1;-;-;-;1;1;-;-;2;2;27
"315445 RIACHINHO";-;-;-;-;1;-;3;2;1;-;-;1;2;1;-;-;4;-;-;-;1;1;-;2;1;1;1;-;-;22
"315450 RIACHO DOS MACHADOS";2;-;1;1;2;2;4;2;3;5;-;-;5;1;3;2;-;8;-;3;-;2;1;2;-;1;2;1;2;55
"315460 RIBEIRAO DAS NEVES";139;132;150;139;115;114;101;91;85;68;65;61;47;52;55;39;57;60;50;59;45;36;43;50;43;56;49;43;40;2084
"315470 RIBEIRAO VERMELHO";1;3;-;1;1;-;-;2;2;-;-;2;-;-;-;1;-;-;-;2;1;1;1;-;-;-;-;2;1;21
"315480 RIO ACIMA";4;5;3;2;3;1;4;2;5;1;4;-;2;1;4;1;4;1;3;2;-;2;1;2;1;-;-;3;1;62
"315490 RIO CASCA";12;11;15;8;6;6;9;4;3;3;3;1;6;2;3;3;1;3;1;1;4;1;-;1;2;2;3;2;1;117
"315500 RIO DOCE";-;1;-;1;1;1;1;1;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;14
"315510 RIO DO PRADO";-;-;-;-;1;2;1;5;-;2;2;2;-;1;1;2;3;2;-;1;1;1;1;1;2;1;-;1;3;36
"315520 RIO ESPERA";3;3;-;4;3;-;4;3;2;1;2;1;1;-;1;1;1;-;1;1;3;-;-;1;2;-;-;-;-;38
"315530 RIO MANSO";1;1;-;2;1;-;-;2;1;1;-;-;1;-;-;-;2;-;1;-;-;-;-;-;-;-;1;1;1;16
"315540 RIO NOVO";7;4;6;4;5;4;2;1;1;6;1;3;1;-;3;1;2;-;-;1;-;-;-;1;-;-;3;-;-;56
"315550 RIO PARANAIBA";7;2;-;2;1;3;4;3;1;2;3;1;-;4;5;1;-;-;3;-;2;-;-;2;2;2;3;6;3;62
"315560 RIO PARDO DE MINAS";2;9;5;5;5;4;9;11;16;11;5;7;-;2;4;14;6;5;4;3;4;3;2;7;4;10;3;2;2;164
"315570 RIO PIRACICABA";8;7;5;3;5;10;2;6;4;4;1;1;3;2;5;3;2;1;-;-;2;-;2;3;1;-;5;1;-;86
"315580 RIO POMBA";4;11;7;7;11;5;6;4;6;5;3;5;1;3;1;1;3;1;3;4;3;3;3;1;3;1;3;4;1;113
"315590 RIO PRETO";4;2;-;5;-;1;3;2;-;1;3;1;1;1;-;1;-;2;1;1;-;2;-;1;1;-;-;-;1;34
"315600 RIO VERMELHO";15;8;7;6;7;7;3;7;6;11;3;5;6;6;5;1;4;4;1;2;3;-;-;1;1;3;2;3;2;129
"315610 RITAPOLIS";2;1;-;2;3;-;1;3;1;2;1;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;1;23
"315620 ROCHEDO DE MINAS";1;-;1;1;1;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;1;2;-;-;-;-;11
"315630 RODEIRO";5;2;-;1;1;2;2;-;1;-;2;-;1;3;2;1;1;2;1;2;1;2;1;3;1;4;1;1;1;44
"315640 ROMARIA";-;-;1;2;-;1;-;3;1;1;1;1;-;-;-;-;3;-;-;1;-;1;-;1;1;-;-;-;-;18
"315645 ROSARIO DA LIMEIRA";-;-;4;-;1;2;-;3;1;1;2;-;4;1;-;1;2;1;-;2;-;2;1;1;-;-;-;-;-;29
"315650 RUBELITA";-;1;-;1;1;-;1;3;-;2;-;1;2;2;1;-;1;-;1;1;1;2;1;1;3;2;1;1;1;31
"315660 RUBIM";-;4;10;4;6;3;4;3;5;6;-;7;4;4;2;4;4;2;4;3;2;3;1;1;-;2;1;1;1;91
"315670 SABARA";62;50;60;35;58;39;38;44;26;30;33;24;18;17;29;21;16;31;19;17;18;29;30;17;14;12;14;21;17;839
"315680 SABINOPOLIS";12;17;11;15;4;9;6;7;7;2;7;3;11;8;5;4;1;8;5;3;1;5;1;1;2;2;6;1;-;164
"315690 SACRAMENTO";4;6;3;9;2;5;2;8;7;7;4;7;8;2;1;3;2;4;4;2;4;-;2;3;1;1;6;6;3;116
"315700 SALINAS";10;7;3;10;10;4;7;13;15;11;7;9;9;5;11;11;7;7;7;3;8;5;4;2;4;7;7;3;3;209
"315710 SALTO DA DIVISA";4;5;1;4;2;4;4;1;-;3;1;2;1;9;1;5;3;4;2;-;2;2;1;1;-;-;2;2;1;67
"315720 SANTA BARBARA";34;22;15;14;8;12;6;10;5;11;6;6;6;8;3;5;2;3;5;7;4;6;5;3;4;2;3;2;2;219
"315725 SANTA BARBARA DO LESTE";6;3;4;2;5;6;4;4;4;2;2;1;2;1;-;-;2;-;3;1;1;1;4;3;2;-;2;2;1;68
"315727 SANTA BARBARA DO MONTE VERDE";-;-;-;-;-;3;2;-;1;-;1;-;-;1;-;1;-;-;1;1;-;-;-;1;-;-;1;-;-;13
"315730 SANTA BARBARA DO TUGURIO";1;1;3;3;2;2;1;-;1;2;1;1;-;1;-;3;1;-;-;1;-;1;3;-;-;-;-;1;3;32
"315733 SANTA CRUZ DE MINAS";-;3;4;1;2;3;3;5;4;2;2;3;2;2;2;1;1;2;-;1;2;1;2;2;1;-;-;1;-;52
"315737 SANTA CRUZ DE SALINAS";-;1;-;-;1;1;1;-;2;-;2;-;3;1;-;2;-;1;-;-;-;-;1;-;3;-;-;-;-;19
"315740 SANTA CRUZ DO ESCALVADO";-;3;2;3;-;-;2;-;-;1;-;1;-;-;-;1;-;-;-;-;-;1;2;-;1;2;1;-;-;20
"315750 SANTA EFIGENIA DE MINAS";3;1;5;2;1;2;-;2;2;5;4;1;1;-;2;2;1;1;-;2;1;1;-;1;3;-;-;1;-;44
"315760 SANTA FE DE MINAS";-;2;3;-;-;1;-;-;-;1;1;-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;12
"315765 SANTA HELENA DE MINAS";-;2;-;1;1;1;1;1;7;7;2;6;4;5;7;2;2;4;4;1;1;1;4;4;1;-;2;3;2;76
"315770 SANTA JULIANA";3;-;1;3;1;2;1;-;1;1;1;1;2;1;-;4;2;1;3;3;2;2;-;5;2;2;-;2;6;52
"315780 SANTA LUZIA";104;101;105;99;114;69;60;59;65;62;38;32;45;40;32;29;34;37;37;32;25;31;28;33;29;36;32;29;32;1469
"315790 SANTA MARGARIDA";14;13;12;12;8;8;7;4;5;7;9;5;6;6;6;6;4;4;2;1;2;3;5;2;2;5;4;6;4;172
"315800 SANTA MARIA DE ITABIRA";6;5;5;5;5;2;3;4;4;2;6;1;2;1;-;3;2;2;3;1;2;2;4;2;2;4;3;2;1;84
"315810 SANTA MARIA DO SALTO";-;1;3;1;1;1;-;1;1;-;1;2;2;3;2;4;2;2;-;-;-;1;-;-;-;-;1;-;2;31
"315820 SANTA MARIA DO SUACUI";19;7;12;8;8;9;6;8;10;4;3;5;2;3;1;5;3;3;-;4;1;3;2;3;1;2;-;3;-;135
"315830 SANTANA DA VARGEM";1;4;2;2;2;-;2;2;-;2;-;2;1;-;2;1;2;2;1;1;-;-;-;-;1;-;1;2;1;34
"315840 SANTANA DE CATAGUASES";-;-;-;1;1;-;-;1;1;-;1;-;-;-;1;1;2;-;1;-;1;-;-;-;-;-;-;2;-;13
"315850 SANTANA DE PIRAPAMA";2;4;2;1;1;5;4;1;3;4;4;1;3;1;-;2;3;1;-;-;1;-;1;-;1;1;2;1;-;49
"315860 SANTANA DO DESERTO";2;5;2;2;2;2;1;1;-;1;2;1;-;1;-;-;-;-;-;-;1;-;1;-;1;1;-;2;-;28
"315870 SANTANA DO GARAMBEU";-;-;-;-;1;-;-;-;2;-;-;1;3;1;-;1;1;-;1;-;1;-;1;1;-;1;-;1;-;16
"315880 SANTANA DO JACARE";3;2;4;2;-;3;2;-;2;2;-;1;-;-;1;-;-;-;1;-;1;1;-;1;-;1;-;-;-;27
"315890 SANTANA DO MANHUACU";7;3;7;6;6;3;2;2;4;5;4;2;3;2;1;2;2;3;3;-;5;2;3;6;3;2;4;2;1;95
"315895 SANTANA DO PARAISO";6;7;4;2;7;8;4;4;2;3;6;1;5;4;3;8;2;1;6;8;6;2;10;4;6;10;4;3;8;144
"315900 SANTANA DO RIACHO";3;1;3;-;-;-;2;1;-;1;1;-;-;1;1;-;-;1;-;-;-;1;-;1;1;-;1;-;1;20
"315910 SANTANA DOS MONTES";-;-;2;2;2;2;1;3;-;1;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;15
"315920 SANTA RITA DE CALDAS";-;1;1;3;1;-;2;1;-;-;1;2;-;1;-;1;2;1;1;1;-;1;-;-;-;-;2;-;1;23
"315930 SANTA RITA DE JACUTINGA";1;-;3;1;2;1;3;1;-;-;-;2;2;1;-;-;1;2;1;2;-;-;-;-;1;-;-;-;-;24
"315935 SANTA RITA DE MINAS";4;2;4;-;6;7;3;1;2;4;3;5;-;3;-;-;3;1;3;1;-;3;2;2;-;1;1;3;1;65
"315940 SANTA RITA DE IBITIPOCA";3;2;1;3;3;2;1;-;1;-;3;1;-;-;-;-;-;2;2;2;1;-;-;-;-;2;-;1;-;30
"315950 SANTA RITA DO ITUETO";1;2;1;1;-;-;1;-;1;2;5;2;2;-;1;2;-;-;-;2;-;2;1;3;2;1;1;2;2;37
"315960 SANTA RITA DO SAPUCAI";12;14;21;13;6;6;12;5;13;4;5;3;10;7;4;3;3;12;6;3;6;3;7;2;3;8;5;3;10;209
"315970 SANTA ROSA DA SERRA";-;-;-;-;-;-;1;-;1;-;1;1;1;1;-;-;1;1;1;1;-;-;1;1;2;-;-;-;-;14
"315980 SANTA VITORIA";6;6;6;7;1;3;1;3;3;3;1;-;2;2;3;2;5;4;1;2;2;5;4;3;2;-;3;1;5;86
"315990 SANTO ANTONIO DO AMPARO";9;15;11;16;14;6;6;3;3;9;11;-;1;-;1;11;3;-;2;4;-;2;2;1;1;-;2;1;1;135
"316000 SANTO ANTONIO DO AVENTUREIRO";2;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;7
"316010 SANTO ANTONIO DO GRAMA";4;1;4;-;1;2;1;-;1;1;-;1;-;1;2;-;4;1;-;-;-;-;1;-;-;-;1;1;1;28
"316020 SANTO ANTONIO DO ITAMBE";2;1;-;4;1;2;1;-;1;-;1;-;1;-;-;1;-;-;-;1;-;1;1;1;-;-;-;-;-;19
"316030 SANTO ANTONIO DO JACINTO";-;-;-;-;1;1;3;1;-;-;3;5;3;1;3;3;3;1;-;5;-;-;1;2;1;3;1;1;-;42
"316040 SANTO ANTONIO DO MONTE";12;4;6;15;5;7;8;8;6;3;3;7;5;-;-;5;2;2;2;3;2;1;8;3;4;3;5;2;1;132
"316045 SANTO ANTONIO DO RETIRO";-;-;-;-;1;1;-;4;4;2;1;1;3;1;1;2;-;1;1;1;1;-;1;2;1;2;2;1;-;34
"316050 SANTO ANTONIO DO RIO ABAIXO";-;-;-;-;1;-;1;1;-;2;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"316060 SANTO HIPOLITO";-;1;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;1;-;-;8
"316070 SANTOS DUMONT";13;21;28;25;14;15;16;14;9;16;20;11;12;13;12;5;12;6;15;3;6;7;2;5;6;8;5;1;10;330
"316080 SAO BENTO ABADE";2;-;4;1;7;1;2;-;5;1;2;3;-;1;-;3;1;-;1;1;-;1;1;1;-;-;-;1;1;40
"316090 SAO BRAS DO SUACUI";1;2;-;3;1;1;1;2;-;-;-;-;2;-;-;-;1;1;-;-;1;-;-;-;-;2;-;-;-;18
"316095 SAO DOMINGOS DAS DORES";-;-;3;-;1;-;2;3;-;1;3;-;2;3;-;5;1;-;1;1;-;-;1;1;-;-;-;-;2;30
"316100 SAO DOMINGOS DO PRATA";8;8;7;3;8;2;9;4;2;4;2;-;4;1;3;3;5;1;3;-;2;3;3;1;2;-;1;-;1;90
"316105 SAO FELIX DE MINAS";-;1;1;-;3;2;-;-;2;-;1;1;-;1;2;1;-;2;-;1;1;1;-;2;-;-;1;1;1;25
"316110 SAO FRANCISCO";27;27;17;35;51;38;26;20;28;17;25;25;22;23;15;15;14;21;15;15;19;17;9;8;7;8;6;7;5;562
"316120 SAO FRANCISCO DE PAULA";1;2;1;4;1;3;3;3;1;1;1;-;3;-;1;1;1;2;2;2;1;1;-;-;-;1;-;1;-;37
"316130 SAO FRANCISCO DE SALES";1;-;1;1;2;1;-;-;1;1;1;-;1;1;-;-;-;-;1;-;-;3;1;-;-;-;2;-;1;19
"316140 SAO FRANCISCO DO GLORIA";5;1;3;1;-;1;-;1;2;1;2;1;3;1;1;1;1;-;-;2;-;-;-;2;-;1;1;-;-;31
"316150 SAO GERALDO";1;2;3;-;1;1;-;1;3;2;-;3;3;3;1;1;1;1;4;-;-;2;2;-;-;3;-;2;1;41
"316160 SAO GERALDO DA PIEDADE";1;-;2;-;-;-;1;1;-;1;1;1;1;-;-;-;-;1;-;1;1;-;-;1;-;1;-;-;-;14
"316165 SAO GERALDO DO BAIXIO";-;-;-;1;-;2;-;-;-;1;2;-;-;1;-;1;-;1;2;-;2;-;2;1;-;-;1;1;-;18
"316170 SAO GONCALO DO ABAETE";-;1;2;1;4;1;1;1;5;-;2;2;1;2;3;2;1;2;1;3;-;-;1;4;-;-;1;2;2;45
"316180 SAO GONCALO DO PARA";4;2;3;4;1;3;1;3;2;1;4;2;-;-;2;2;2;-;1;1;3;-;3;1;-;2;3;2;-;52
"316190 SAO GONCALO DO RIO ABAIXO";2;6;2;3;3;1;2;2;1;-;4;5;2;3;1;1;3;1;2;1;3;-;-;1;2;2;-;-;3;56
"316200 SAO GONCALO DO SAPUCAI";10;6;5;8;11;7;10;9;2;6;3;4;3;4;2;1;3;3;1;6;3;3;2;11;6;2;3;3;4;141
"316210 SAO GOTARDO";13;12;8;8;7;7;10;11;2;8;5;3;4;5;8;6;6;6;4;8;7;8;18;10;5;11;7;8;9;224
"316220 SAO JOAO BATISTA DO GLORIA";3;1;1;3;2;2;-;4;1;3;2;3;-;-;-;-;1;-;-;1;-;4;-;1;-;2;1;2;1;38
"316225 SAO JOAO DA LAGOA";-;-;3;-;1;-;1;-;2;-;1;1;-;2;-;1;1;1;-;1;1;2;-;1;-;-;-;-;-;19
"316230 SAO JOAO DA MATA";-;-;-;-;1;-;1;1;1;-;-;-;1;-;-;1;-;-;1;1;-;2;-;1;1;2;-;-;-;14
"316240 SAO JOAO DA PONTE";8;8;2;8;6;11;6;13;4;2;3;3;7;5;3;9;7;6;2;3;4;3;4;8;4;3;2;4;5;153
"316245 SAO JOAO DAS MISSOES";-;1;-;1;1;3;3;1;2;5;1;3;9;4;3;4;4;4;5;3;10;2;3;8;3;2;5;7;4;101
"316250 SAO JOAO DEL REI";41;30;38;19;33;27;25;21;24;26;25;15;15;12;14;8;16;10;17;9;11;13;13;9;3;11;4;5;4;498
"316255 SAO JOAO DO MANHUACU";5;6;7;6;4;2;5;5;2;2;7;3;4;-;1;2;8;1;2;2;5;3;6;6;2;1;2;2;4;105
