 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"310980 CACHOEIRA DOURADA";-;-;-;2;-;1;-;-;1;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;2;-;10
"310990 CAETANOPOLIS";-;1;-;1;5;2;2;2;2;1;1;2;5;-;-;-;4;-;2;1;3;1;2;-;2;-;-;1;-;40
"311000 CAETE";25;25;16;19;14;9;19;13;8;11;7;8;7;6;4;7;4;4;3;6;5;5;5;8;4;1;7;-;4;254
"311010 CAIANA";-;-;-;2;3;-;1;-;1;1;2;1;2;1;1;1;2;1;1;-;-;-;1;1;-;1;1;-;1;25
"311020 CAJURI";2;1;-;-;2;2;4;-;1;-;-;-;1;-;-;1;1;1;-;-;1;-;1;1;1;1;-;3;1;25
"311030 CALDAS";2;-;5;4;5;4;3;2;-;-;2;2;3;2;-;4;4;3;1;1;1;-;-;-;4;2;-;4;-;58
"311040 CAMACHO";2;2;2;2;-;-;1;-;-;-;1;-;-;2;1;-;1;1;1;-;1;-;1;-;1;1;-;-;-;20
"311050 CAMANDUCAIA";11;5;7;11;4;7;7;9;7;4;-;6;2;8;4;4;4;3;3;2;5;3;4;1;1;3;3;5;4;137
"311060 CAMBUI";10;8;10;8;3;10;7;4;5;4;3;4;4;5;3;3;4;2;1;4;6;2;-;-;-;2;5;3;2;122
"311070 CAMBUQUIRA";9;3;9;8;5;10;6;3;4;5;3;-;4;2;3;3;-;5;4;3;4;1;-;1;2;1;-;-;1;99
"311080 CAMPANARIO";1;1;-;1;1;1;-;-;1;-;-;2;-;-;1;-;-;3;-;1;-;-;1;1;-;-;-;-;1;16
"311090 CAMPANHA";8;8;10;10;6;5;8;2;2;2;3;2;2;3;1;4;3;1;-;3;7;4;4;-;4;3;2;4;1;112
"311100 CAMPESTRE";6;2;12;5;3;6;2;4;2;2;3;5;2;5;4;6;5;2;3;-;1;3;2;-;1;3;6;-;1;96
"311110 CAMPINA VERDE";6;3;3;4;6;4;5;4;4;6;4;4;5;4;2;2;2;1;1;2;4;2;1;-;1;-;1;2;3;86
"311115 CAMPO AZUL";-;-;2;-;1;-;-;-;-;2;-;1;1;-;1;1;-;-;1;-;2;2;-;-;-;-;-;-;-;14
"311120 CAMPO BELO";31;21;14;21;20;14;11;5;10;6;8;12;8;13;7;9;7;5;4;7;4;5;5;3;4;4;5;2;5;270
"311130 CAMPO DO MEIO";5;6;4;1;6;2;4;1;5;3;4;1;2;1;3;2;2;2;1;3;2;1;1;-;-;-;1;2;3;68
"311140 CAMPO FLORIDO";1;-;-;-;-;1;1;2;2;1;-;3;1;-;1;-;2;2;1;2;1;2;1;1;-;2;1;2;1;31
"311150 CAMPOS ALTOS";-;1;1;3;7;5;2;5;5;3;1;2;5;1;3;7;1;5;6;2;5;1;5;2;2;4;3;4;2;93
"311160 CAMPOS GERAIS";9;11;8;10;12;2;5;3;8;4;2;6;7;7;1;3;4;2;3;5;4;7;2;2;6;4;3;3;2;145
"311170 CANAA";-;-;-;1;-;-;1;-;1;-;1;-;1;2;2;1;1;-;-;1;-;-;-;-;-;1;-;-;-;13
"311180 CANAPOLIS";5;1;1;7;-;3;-;5;1;1;-;2;5;2;-;2;-;2;-;2;-;-;1;2;1;1;1;-;-;45
"311190 CANA VERDE";-;-;3;1;1;1;-;-;1;2;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"311200 CANDEIAS";6;4;4;4;3;2;3;4;7;2;-;3;1;-;2;1;-;1;2;2;3;-;-;5;1;4;2;1;-;67
"311205 CANTAGALO";-;2;1;1;2;-;4;2;1;1;1;4;1;-;1;1;-;1;1;1;2;1;1;1;-;1;1;-;1;33
"311210 CAPARAO";3;6;5;2;2;2;-;1;-;2;-;4;3;-;-;-;-;-;2;2;-;1;-;-;1;-;-;1;-;37
"311220 CAPELA NOVA";2;1;3;2;1;1;-;-;1;2;-;2;-;2;-;1;1;-;1;-;1;-;1;1;-;-;-;-;-;23
"311230 CAPELINHA";24;11;3;19;7;9;5;8;8;9;15;13;9;10;9;9;5;7;7;2;3;6;4;3;5;9;3;9;3;234
"311240 CAPETINGA";2;3;3;-;1;2;4;-;1;1;1;1;1;-;-;4;4;2;2;-;-;1;1;4;-;2;2;1;-;43
"311250 CAPIM BRANCO";3;2;1;4;2;-;3;1;3;2;-;2;-;1;1;4;2;2;1;1;3;2;-;2;3;1;1;3;2;52
"311260 CAPINOPOLIS";2;8;3;6;2;1;4;5;2;2;3;4;-;5;3;2;1;2;1;-;1;4;2;-;4;1;2;-;-;70
"311265 CAPITAO ANDRADE";-;1;-;-;1;-;-;-;2;2;2;2;-;-;4;1;-;-;2;-;-;1;1;-;-;-;1;-;1;21
"311270 CAPITAO ENEAS";5;3;2;2;7;7;5;8;1;6;3;3;1;5;1;1;2;5;3;3;3;3;3;2;2;2;5;2;2;97
"311280 CAPITOLIO";3;3;1;1;1;-;1;2;1;2;4;-;-;-;1;-;-;-;-;1;2;-;3;1;2;-;2;1;-;32
"311290 CAPUTIRA";12;4;5;4;1;2;3;10;3;1;-;1;3;3;1;4;1;3;1;2;2;1;2;1;-;-;3;1;-;74
"311300 CARAI";-;1;-;2;3;6;11;15;7;9;10;10;5;9;6;5;4;4;4;3;5;8;9;5;6;4;1;5;1;158
"311310 CARANAIBA";1;1;1;2;3;-;-;-;2;1;-;2;-;1;-;1;1;-;-;1;2;2;-;4;-;-;1;1;-;27
"311320 CARANDAI";9;11;4;13;7;5;9;5;6;5;3;4;8;6;7;8;2;2;-;3;3;8;5;3;4;1;4;3;2;150
"311330 CARANGOLA";33;17;29;23;22;12;16;10;12;10;8;9;8;14;8;5;6;9;4;5;4;6;5;5;-;5;5;2;2;294
"311340 CARATINGA";54;39;41;36;44;28;23;25;29;31;25;15;25;22;21;28;16;16;16;17;16;24;16;19;18;10;23;19;12;708
